titulo,score,votes,gross
1.A Viagem de Chihiro(2001),8.6,633465,1006
2.O Rei Leão(1994),8.5,923731,42278
3.Túmulo dos Vagalumes(1988),8.5,228325,0
4.Your Name.(2016),8.4,183112,502
5.Homem-Aranha no Aranhaverso(2018),8.4,344439,19024
6.Viva: A Vida é uma Festa(I) (2017),8.4,359134,20973
7.WALL·E(2008),8.4,981030,22381
8.Princesa Mononoke(1997),8.4,334499,238
9.Toy Story 3(2010),8.3,744310,41500
10.Toy Story(1995),8.3,870379,19180
11.Klaus(2019),8.2,77166,0
12.Up: Altas Aventuras(2009),8.2,917599,29300
13.O Castelo Animado(2004),8.2,323384,471
14.Meu Amigo Totoro(1988),8.2,282116,111
15.A Voz do Silêncio(2016),8.1,42655,0
16.Crianças Lobo(2012),8.1,37660,0
17.Divertida Mente(I) (2015),8.1,597977,35646
18.A Canção do Oceano(2014),8.1,49734,86
19.Mary e Max: Uma Amizade Diferente(2009),8.1,162043,0
20.Como Treinar o Seu Dragão(2010),8.1,655492,21758
21.Procurando Nemo(2003),8.1,933548,38084
22.Neon Genesis Evangelion: O Fim do Evangelho(1997),8.1,37123,0
23.Nausicaä do Vale do Vento(1984),8.1,146751,50
24.Zootopia(2016),8,424473,34127
25.O Conto da Princesa Kaguya(2013),8,37051,151
26.Persépolis(2007),8,87473,445
27.Ratatouille(2007),8,628788,20645
28.Os Incríveis(2004),8,646373,26144
29.Monstros S.A.(2001),8,800229,28992
30.Perfect Blue(1997),8,55301,78
31.O Gigante de Ferro(1999),8,169331,2316
32.O Fantasma do Futuro(1995),8,126514,52
33.O Estranho Mundo de Jack(1993),8,288048,7508
34.Aladdin(1992),8,367362,21735
35.A Bela e a Fera(1991),8,412374,21897
36.Akira(1988),8,161273,55
37.O Castelo no Céu(1986),8,146687,0
38.Ilha dos Cachorros(2018),7.9,134497,3202
39.O Fantástico Sr. Raposo(2009),7.9,194543,2100
40.Cowboy Bebop: O Filme(2001),7.9,42254,100
41.Toy Story 2(1999),7.9,517955,24585
42.Sussurros do Coração(1995),7.9,49793,0
43.Ninja Scroll(1993),7.9,34044,0
44.Kubo e as Cordas Mágicas(2016),7.8,115868,4802
"45.Com Amor, Van Gogh(2017)",7.8,49116,674
46.Operação Big Hero(2014),7.8,403499,22253
47.Vidas ao Vento(2013),7.8,71149,521
48.Toy Story 4(2019),7.8,192876,43404
49.Como Treinar o Seu Dragão 2(2014),7.8,300279,17700
50.Padrinhos de Tóquio(2003),7.8,30208,13
51.As Bicicletas de Belleville(2003),7.8,50109,700
52.Acordar para a Vida(2001),7.8,60123,289
53.Shrek(2001),7.8,603735,26767
54.Batman: A Máscara do Fantasma(1993),7.8,42903,562
55.O Serviço de Entregas da Kiki(1989),7.8,119754,0
56.As Memórias de Marnie(2014),7.7,31236,77
57.Detona Ralph(2012),7.7,373747,18942
58.O Pequeno Príncipe(2015),7.7,55541,134
59.Uma Aventura Lego(2014),7.7,320617,25776
60.Ponyo: Uma Amizade que Veio do Mar(2008),7.7,121642,1509
61.Paprika(2006),7.7,69329,88
62.A Garota que Conquistou o Tempo(2006),7.7,59122,0
63.Enrolados(2010),7.7,398593,20082
64.Coraline e o Mundo Secreto(2009),7.7,192752,7529
65.Vampire Hunter D: Bloodlust(2000),7.7,28809,15
"66.South Park: Maior, Melhor e Sem Cortes(1999)",7.7,190543,5204
67.Porco Rosso: O Último Herói Romântico(1992),7.7,75209,0
68.Uma Cilada para Roger Rabbit(1988),7.7,179488,15645
69.O Castelo de Cagliostro(1979),7.7,26202,0
70.Fantasia(1940),7.7,87285,7641
71.Os Incríveis 2(2018),7.6,242126,60858
72.Moana: Um Mar de Aventuras(I) (2016),7.6,264081,24876
73.O Mundo dos Pequeninos(2010),7.6,78574,1920
74.Meu Malvado Favorito(2010),7.6,493617,25151
75.Cinco Centímetros por Segundo(2007),7.6,49791,0
76.Uma Viagem ao Mundo das Fábulas(2009),7.6,30654,69
77.Mulan(1998),7.6,250791,12062
78.Memórias de Ontem(1991),7.6,25921,45
79.A Pequena Sereia(1989),7.6,233414,11154
80.A Ratinha Valente(1982),7.6,35700,1014
81.Uma Grande Aventura(1978),7.6,33216,0
82.As Aventuras do Ursinho Puff(1977),7.6,32041,0
83.Robin Hood(1973),7.6,113558,3206
"84.Mogli, o Menino Lobo(1967)",7.6,163461,14184
85.Branca de Neve e os Sete Anões(1937),7.6,178365,18493
86.A Tartaruga Vermelha(2016),7.5,30314,92
87.O Jardim das Palavras(2013),7.5,33222,0
88.Como Treinar o Seu Dragão 3(2019),7.5,99112,16080
89.Guerras de Verão(2009),7.5,25707,8
90.O Mágico(2010),7.5,33244,223
91.Kung Fu Panda(2008),7.5,412281,21543
92.O Fantasma do Futuro 2: A Inocência(2004),7.5,35796,104
93.A Era do Gelo(2002),7.5,434075,17639
94.Dois Irmãos: Uma Jornada Fantástica(I) (2020),7.4,83191,6156
95.Frozen: Uma Aventura Congelante(I) (2013),7.4,563580,40074
96.Da Colina Kokuriko(2011),7.4,33746,100
97.Wallace & Gromit: A Batalha dos Vegetais(2005),7.4,123796,5611
98.Em Busca do Vale Encantado(1988),7.4,78901,4809
99.Alice no País das Maravilhas(1951),7.4,126781,0
100.Pinóquio(1940),7.4,128649,8425
101.Lego Batman: O Filme(2017),7.3,129040,17575
"102.Shaun, o Carneiro: O Filme(2015)",7.3,36526,1938
103.Anomalisa(2015),7.3,64898,376
104.Procurando Dory(2016),7.3,235354,48630
105.Festa no Céu(2014),7.3,63493,5015
106.Meu Malvado Favorito 2(2013),7.3,364884,36806
107.Universidade Monstros(2013),7.3,316031,26849
108.A Origem dos Guardiões(2012),7.3,154122,10341
109.As Aventuras de Tintim(2011),7.3,214117,7759
110.Os Simpsons: O Filme(2007),7.3,306042,18314
111.A Noiva Cadáver(2005),7.3,239524,5336
112.A Nova Onda do Imperador(2000),7.3,176679,8930
113.Tarzan(1999),7.3,200048,17109
114.Hércules(1997),7.3,202063,9905
115.Transformers: O Filme(1986),7.3,37165,585
116.O Cão e a Raposa(1981),7.3,83395,6346
117.A Dama e o Vagabundo(1955),7.3,120522,9360
118.As Aventuras de Peter Pan(1953),7.3,124046,8740
119.Cinderela(1950),7.3,143170,8500
120.Bambi(1942),7.3,129087,10280
121.Dragon Ball Z: A Batalha dos Deuses(2013),7.2,25944,255
122.Kung Fu Panda 2(2011),7.2,248888,16525
123.Rango(2011),7.2,232454,12348
124.Megamente(2010),7.2,224400,14842
125.Os Croods(2013),7.2,187802,18717
126.Final Fantasy VII - Advent Children(2005),7.2,54721,0
127.O Reino dos Gatos(2002),7.2,47554,0
128.Shrek 2(2004),7.2,412558,43647
129.Lilo & Stitch(2002),7.2,165138,14579
130.Planeta do Tesouro(2002),7.2,100428,3818
131.Fantasia 2000(1999),7.2,34576,6066
132.Vida de Inseto(1998),7.2,262808,16280
133.Anastasia(1997),7.2,109927,5841
